name,generation,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,,,,,,,,,,,,,,,,,
Pidgey,1,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,56,255,70,50,Medium Slow,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Pidgeotto,1,2,Normal,Flying,1.1,30,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,71,120,70,122,Medium Slow,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Pidgeot,1,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,101,45,70,216,Medium Slow,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Mega Pidgeot,1,2,Normal,Flying,2.2,50.5,1,No Guard,,,579,83,80,80,121,45,70,261,Medium Slow,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Rattata,1,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,72,255,70,51,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Alolan Rattata,1,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,72,255,70,51,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Raticate,1,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,97,127,70,145,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Alolan Raticate,1,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,77,127,70,145,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Spearow,1,2,Normal,Flying,0.3,2,2,Keen Eye,,Sniper,262,40,60,30,70,255,70,52,Medium Fast,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Fearow,1,2,Normal,Flying,1.2,38,2,Keen Eye,,Sniper,442,65,90,65,100,90,70,155,Medium Fast,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Ekans,1,1,Poison,,2,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,55,255,70,58,Medium Fast,2,Dragon,Field,50,20,1,,,,,,,,,,,,,,,,,
Arbok,1,1,Poison,,3.5,65,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,80,90,70,157,Medium Fast,2,Dragon,Field,50,20,1,,,,,,,,,,,,,,,,,
Pikachu,1,1,Electric,,0.4,6,2,Static,,Lightning Rod,320,35,55,40,90,190,70,112,Medium Fast,2,Fairy,Field,50,10,1,,,,,,,,,,,,,,,,,
Partner Pikachu,1,1,Electric,,0.4,6,1,,,Lightning Rod,430,45,80,50,120,190,70,112,Medium Fast,0,,,50,10,1,,,,,,,,,,,,,,,,,
Raichu,1,1,Electric,,0.8,30,2,Static,,Lightning Rod,485,60,90,55,110,75,70,218,Medium Fast,2,Fairy,Field,50,10,1,,,,,,,,,,,,,,,,,
Alolan Raichu,1,2,Electric,Psychic,0.7,21,1,Surge Surfer,,,485,60,85,50,110,75,70,218,Medium Fast,2,Fairy,Field,50,10,1,,,,,,,,,,,,,,,,,
Sandshrew,1,1,Ground,,0.6,12,2,Sand Veil,,Sand Rush,300,50,75,85,40,255,70,60,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Sandshrew,1,2,Ice,Steel,0.7,40,2,Snow Cloak,,Slush Rush,300,50,75,90,40,255,70,60,Medium Fast,1,Field,,50,20,0.5,,,,,,,,,,,,,,,,,
Sandslash,1,1,Ground,,1,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,65,90,70,158,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Sandslash,1,2,Ice,Steel,1.2,55,2,Snow Cloak,,Slush Rush,450,75,100,120,65,90,70,158,Medium Fast,1,Field,,50,20,0.5,,,,,,,,,,,,,,,,,
Nidoran♀,1,1,Poison,,0.4,7,3,Poison Point,Rivalry,Hustle,275,55,47,52,41,235,70,55,Medium Slow,2,Field,Monster,0,20,1,,,,,,,,,,,,,,,,,
Nidorina,1,1,Poison,,0.8,20,3,Poison Point,Rivalry,Hustle,365,70,62,67,56,120,70,128,Medium Slow,1,Undiscovered,,0,20,1,,,,,,,,,,,,,,,,,
Nidoqueen,1,2,Poison,Ground,1.3,60,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,76,45,70,227,Medium Slow,1,Undiscovered,,0,20,1,,,,,,,,,,,,,,,,,
Nidoran♂,1,1,Poison,,0.5,9,3,Poison Point,Rivalry,Hustle,273,46,57,40,50,235,70,55,Medium Slow,2,Field,Monster,100,20,1,,,,,,,,,,,,,,,,,
Nidorino,1,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,65,120,70,128,Medium Slow,2,Field,Monster,100,20,1,,,,,,,,,,,,,,,,,
Nidoking,1,2,Poison,Ground,1.4,62,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,45,70,227,Medium Slow,2,Field,Monster,100,20,1,,,,,,,,,,,,,,,,,
Clefairy,1,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,35,150,140,113,Fast,1,Fairy,,25,10,1,,,,,,,,,,,,,,,,,
Clefable,1,1,Fairy,,1.3,40,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,60,25,140,217,Fast,1,Fairy,,25,10,1,,,,,,,,,,,,,,,,,
Vulpix,1,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299,38,41,40,65,190,70,60,Medium Fast,1,Field,,25,20,1,,,,,,,,,,,,,,,,,
Alolan Vulpix,1,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299,38,41,40,65,190,70,60,Medium Fast,1,Field,,25,20,1,,,,,,,,,,,,,,,,,
Ninetales,1,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505,73,76,75,100,75,70,177,Medium Fast,1,Field,,25,20,1,,,,,,,,,,,,,,,,,
Alolan Ninetales,1,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505,73,67,75,109,75,70,177,Medium Fast,1,Field,,25,20,1,,,,,,,,,,,,,,,,,
Jigglypuff,1,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,20,170,70,95,Fast,1,Fairy,,25,10,1,,,,,,,,,,,,,,,,,
Wigglytuff,1,2,Normal,Fairy,1,12,3,Cute Charm,Competitive,Frisk,435,140,70,45,45,50,70,196,Fast,1,Fairy,,25,10,1,,,,,,,,,,,,,,,,,
Zubat,1,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,55,255,70,49,Medium Fast,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Golbat,1,2,Poison,Flying,1.6,55,2,Inner Focus,,Infiltrator,455,75,80,70,90,90,70,159,Medium Fast,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Oddish,1,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320,45,50,55,30,255,70,64,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Gloom,1,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395,60,65,70,40,120,70,138,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Vileplume,1,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,50,45,70,221,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Paras,1,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,25,190,70,57,Medium Fast,2,Bug,Grass,50,20,1,,,,,,,,,,,,,,,,,
Parasect,1,2,Bug,Grass,1,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,30,75,70,142,Medium Fast,2,Bug,Grass,50,20,1,,,,,,,,,,,,,,,,,
Venonat,1,2,Bug,Poison,1,30,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,45,190,70,61,Medium Fast,1,Bug,,50,20,1,,,,,,,,,,,,,,,,,
Venomoth,1,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,70,158,Medium Fast,1,Bug,,50,20,1,,,,,,,,,,,,,,,,,
Diglett,1,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,95,255,70,53,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Diglett,1,2,Ground,Steel,0.2,1,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,90,255,70,53,Medium Fast,1,Field,,50,20,0.5,,,,,,,,,,,,,,,,,
Dugtrio,1,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,120,50,70,149,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Dugtrio,1,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,110,50,70,149,Medium Fast,1,Field,,50,20,0.5,,,,,,,,,,,,,,,,,
Meowth,1,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,90,255,70,58,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Meowth,1,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,290,40,35,35,90,255,70,58,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Galarian Meowth,1,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,,,,Medium Fast,1,Field,,,20,0.5,,,,,,,,,,,,,,,,,
Persian,1,1,Normal,,1,32,3,Limber,Technician,Unnerve,440,65,70,60,115,90,70,154,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Persian,1,1,Dark,,1.1,33,3,Fur Coat,Technician,Rattled,440,65,60,60,115,90,70,154,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Psyduck,1,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,55,190,70,64,Medium Fast,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Golduck,1,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,85,75,70,175,Medium Fast,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Mankey,1,1,Fighting,,0.5,28,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,70,190,70,61,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Primeape,1,1,Fighting,,1,32,3,Vital Spirit,Anger Point,Defiant,455,65,105,60,95,75,70,159,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Growlithe,1,1,Fire,,0.7,19,3,Intimidate,Flash Fire,Justified,350,55,70,45,60,190,70,70,Slow,1,Field,,75,20,1,,,,,,,,,,,,,,,,,
Arcanine,1,1,Fire,,1.9,155,3,Intimidate,Flash Fire,Justified,555,90,110,80,95,75,70,194,Slow,1,Field,,75,20,1,,,,,,,,,,,,,,,,,
Poliwag,1,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300,40,50,40,90,255,70,60,Medium Slow,1,Water 1,,50,20,1,,,,,,,,,,,,,,,,,
Poliwhirl,1,1,Water,,1,20,3,Water Absorb,Damp,Swift Swim,385,65,65,65,90,120,70,135,Medium Slow,1,Water 1,,50,20,1,,,,,,,,,,,,,,,,,
Poliwrath,1,2,Water,Fighting,1.3,54,3,Water Absorb,Damp,Swift Swim,510,90,95,95,70,45,70,230,Medium Slow,1,Water 1,,50,20,1,,,,,,,,,,,,,,,,,
Abra,1,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310,25,20,15,90,200,70,62,Medium Slow,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Kadabra,1,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400,40,35,30,105,100,70,140,Medium Slow,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Alakazam,1,1,Psychic,,1.5,48,3,Synchronize,Inner Focus,Magic Guard,500,55,50,45,120,50,70,225,Medium Slow,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Mega Alakazam,1,1,Psychic,,1.2,48,1,Trace,,,600,55,50,65,150,50,70,270,Medium Slow,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Machop,1,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,305,70,80,50,35,180,70,61,Medium Slow,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Machoke,1,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,405,80,100,70,45,90,70,142,Medium Slow,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Machamp,1,1,Fighting,,1.6,130,3,Guts,No Guard,Steadfast,505,90,130,80,55,45,70,227,Medium Slow,1,Human-Like,,75,20,1,,,,,,,,,,,,,,,,,
Bellsprout,1,2,Grass,Poison,0.7,4,2,Chlorophyll,,Gluttony,300,50,75,35,40,255,70,60,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Weepinbell,1,2,Grass,Poison,1,6.4,2,Chlorophyll,,Gluttony,390,65,90,50,55,120,70,137,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Victreebel,1,2,Grass,Poison,1.7,15.5,2,Chlorophyll,,Gluttony,490,80,105,65,70,45,70,221,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Tentacool,1,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,70,190,70,67,Slow,1,Water 3,,50,20,1,,,,,,,,,,,,,,,,,
Tentacruel,1,2,Water,Poison,1.6,55,3,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,100,60,70,180,Slow,1,Water 3,,50,20,1,,,,,,,,,,,,,,,,,
Geodude,1,2,Rock,Ground,0.4,20,3,Rock Head,Sturdy,Sand Veil,300,40,80,100,20,255,70,60,Medium Slow,1,Mineral,,50,15,0.5,,,,,,,,,,,,,,,,,
Alolan Geodude,1,2,Rock,Electric,0.4,20.3,3,Magnet Pull,Sturdy,Galvanize,300,40,80,100,20,255,70,60,Medium Slow,1,Mineral,,50,15,0.5,,,,,,,,,,,,,,,,,
Graveler,1,2,Rock,Ground,1,105,3,Rock Head,Sturdy,Sand Veil,390,55,95,115,35,120,70,137,Medium Slow,1,Mineral,,50,15,0.5,,,,,,,,,,,,,,,,,
Alolan Graveler,1,2,Rock,Electric,1,110,3,Magnet Pull,Sturdy,Galvanize,390,55,95,115,35,120,70,137,Medium Slow,1,Mineral,,50,15,0.5,,,,,,,,,,,,,,,,,
Golem,1,2,Rock,Ground,1.4,300,3,Rock Head,Sturdy,Sand Veil,495,80,120,130,45,45,70,223,Medium Slow,1,Mineral,,50,15,0.5,,,,,,,,,,,,,,,,,
Alolan Golem,1,2,Rock,Electric,1.7,316,3,Magnet Pull,Sturdy,Galvanize,495,80,120,130,45,45,70,223,Medium Slow,1,Mineral,,50,15,0.5,,,,,,,,,,,,,,,,,
Ponyta,1,1,Fire,,1,30,3,Run Away,Flash Fire,Flame Body,410,50,85,55,90,190,70,82,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Galarian Ponyta,1,1,Psychic,,0.8,24,3,Run Away,Pastel Veil,Anticipation,410,50,85,55,90,,,,Medium Fast,1,Field,,,20,1,,,,,,,,,,,,,,,,,
Rapidash,1,1,Fire,,1.7,95,3,Run Away,Flash Fire,Flame Body,500,65,100,70,105,60,70,175,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Galarian Rapidash,1,2,Psychic,Fairy,1.7,80,3,Run Away,Pastel Veil,Anticipation,500,65,100,70,105,,,,Medium Fast,1,Field,,,20,1,,,,,,,,,,,,,,,,,
Slowpoke,1,2,Water,Psychic,1.2,36,3,Oblivious,Own Tempo,Regenerator,315,90,65,65,15,190,70,63,Medium Fast,2,Monster,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Slowbro,1,2,Water,Psychic,1.6,78.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,110,30,75,70,172,Medium Fast,2,Monster,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Mega Slowbro,1,2,Water,Psychic,2,120,1,Shell Armor,,,590,95,75,180,30,75,70,207,Medium Fast,2,Monster,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Magnemite,1,2,Electric,Steel,0.3,6,3,Magnet Pull,Sturdy,Analytic,325,25,35,70,45,190,70,65,Medium Fast,1,Mineral,,,20,0.5,,,,,,,,,,,,,,,,,
Magneton,1,2,Electric,Steel,1,60,3,Magnet Pull,Sturdy,Analytic,465,50,60,95,70,60,70,163,Medium Fast,1,Mineral,,,20,0.5,,,,,,,,,,,,,,,,,
Farfetch'd,1,2,Normal,Flying,0.8,15,3,Keen Eye,Inner Focus,Defiant,377,52,90,55,60,45,70,132,Medium Fast,2,Field,Flying,50,20,1,,,,,,,,,,,,,,,,,
Galarian Farfetch'd,1,1,Fighting,,0.8,42,2,Steadfast,,Scrappy,377,52,95,55,55,,,,Medium Fast,2,Field,Flying,,20,1,,,,,,,,,,,,,,,,,
Doduo,1,2,Normal,Flying,1.4,39.2,3,Run Away,Early Bird,Tangled Feet,310,35,85,45,75,190,70,62,Medium Fast,1,Flying,,50,20,1,,,,,,,,,,,,,,,,,
Dodrio,1,2,Normal,Flying,1.8,85.2,3,Run Away,Early Bird,Tangled Feet,470,60,110,70,110,45,70,165,Medium Fast,1,Flying,,50,20,1,,,,,,,,,,,,,,,,,
Seel,1,1,Water,,1.1,90,3,Thick Fat,Hydration,Ice Body,325,65,45,55,45,190,70,65,Medium Fast,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Dewgong,1,2,Water,Ice,1.7,120,3,Thick Fat,Hydration,Ice Body,475,90,70,80,70,75,70,166,Medium Fast,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Grimer,1,1,Poison,,0.9,30,3,Stench,Sticky Hold,Poison Touch,325,80,80,50,25,190,70,65,Medium Fast,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Grimer,1,2,Poison,Dark,0.7,42,3,Poison Touch,Gluttony,Power of Alchemy,325,80,80,50,25,190,70,65,Medium Fast,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Muk,1,1,Poison,,1.2,30,3,Stench,Sticky Hold,Poison Touch,500,105,105,75,50,75,70,175,Medium Fast,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Muk,1,2,Poison,Dark,1,52,3,Poison Touch,Gluttony,Power of Alchemy,500,105,105,75,50,75,70,175,Medium Fast,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Shellder,1,1,Water,,0.3,4,3,Shell Armor,Skill Link,Overcoat,305,30,65,100,40,190,70,61,Slow,1,Water 3,,50,20,1,,,,,,,,,,,,,,,,,
Cloyster,1,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,525,50,95,180,70,60,70,184,Slow,1,Water 3,,50,20,1,,,,,,,,,,,,,,,,,
Gastly,1,2,Ghost,Poison,1.3,0.1,1,Levitate,,,310,30,35,30,80,190,70,62,Medium Slow,1,Amorphous,,50,20,0,,,,,,,,,,,,,,,,,
Haunter,1,2,Ghost,Poison,1.6,0.1,1,Levitate,,,405,45,50,45,95,90,70,142,Medium Slow,1,Amorphous,,50,20,0,,,,,,,,,,,,,,,,,
Gengar,1,2,Ghost,Poison,1.5,40.5,1,Cursed Body,,,500,60,65,60,110,45,70,225,Medium Slow,1,Amorphous,,50,20,0,,,,,,,,,,,,,,,,,
Mega Gengar,1,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,,,600,60,65,80,130,45,70,270,Medium Slow,1,Amorphous,,50,20,0,,,,,,,,,,,,,,,,,
Onix,1,2,Rock,Ground,8.8,210,3,Rock Head,Sturdy,Weak Armor,385,35,45,160,70,45,70,77,Medium Fast,1,Mineral,,50,25,0.5,,,,,,,,,,,,,,,,,
Drowzee,1,1,Psychic,,1,32.4,3,Insomnia,Forewarn,Inner Focus,328,60,48,45,42,190,70,66,Medium Fast,1,Human-Like,,50,20,1,,,,,,,,,,,,,,,,,
Hypno,1,1,Psychic,,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,483,85,73,70,67,75,70,169,Medium Fast,1,Human-Like,,50,20,1,,,,,,,,,,,,,,,,,
Krabby,1,1,Water,,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,50,225,70,65,Medium Fast,1,Water 3,,50,20,1,,,,,,,,,,,,,,,,,
Kingler,1,1,Water,,1.3,60,3,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,75,60,70,166,Medium Fast,1,Water 3,,50,20,1,,,,,,,,,,,,,,,,,
Voltorb,1,1,Electric,,0.5,10.4,3,Soundproof,Static,Aftermath,330,40,30,50,100,190,70,66,Medium Fast,1,Mineral,,,20,1,,,,,,,,,,,,,,,,,
Electrode,1,1,Electric,,1.2,66.6,3,Soundproof,Static,Aftermath,490,60,50,70,150,60,70,172,Medium Fast,1,Mineral,,,20,1,,,,,,,,,,,,,,,,,
Exeggcute,1,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,,Harvest,325,60,40,80,40,90,70,65,Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Exeggutor,1,2,Grass,Psychic,2,120,2,Chlorophyll,,Harvest,530,95,95,85,55,45,70,186,Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Exeggutor,1,2,Grass,Dragon,10.9,415.6,2,Frisk,,Harvest,530,95,105,85,45,45,70,186,Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Cubone,1,1,Ground,,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,35,190,70,64,Medium Fast,1,Monster,,50,20,1,,,,,,,,,,,,,,,,,
Marowak,1,1,Ground,,1,45,3,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,45,75,70,149,Medium Fast,1,Monster,,50,20,1,,,,,,,,,,,,,,,,,
Alolan Marowak,1,2,Fire,Ghost,1,34,3,Cursed Body,Lightning Rod,Rock Head,425,60,80,110,45,75,70,149,Medium Fast,1,Monster,,50,20,0,,,,,,,,,,,,,,,,,
Hitmonlee,1,1,Fighting,,1.5,49.8,3,Limber,Reckless,Unburden,455,50,120,53,87,45,70,159,Medium Fast,1,Human-Like,,100,25,1,,,,,,,,,,,,,,,,,
Hitmonchan,1,1,Fighting,,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,76,45,70,159,Medium Fast,1,Human-Like,,100,25,1,,,,,,,,,,,,,,,,,
Lickitung,1,1,Normal,,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,30,45,70,77,Medium Fast,1,Monster,,50,20,1,,,,,,,,,,,,,,,,,
Koffing,1,1,Poison,,0.6,1,3,Levitate,Neutralizing Gas,Stench,340,40,65,95,35,190,70,68,Medium Fast,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Weezing,1,1,Poison,,1.2,9.5,3,Levitate,Neutralizing Gas,Stench,490,65,90,120,60,60,70,172,Medium Fast,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
